epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9940805435180664,0.9995813369750977,0.01571282558143139,0.001,0.9744528532028198,0.9953212141990662,0.9994999766349792,0.9999977350234985,0.0017642867751419544,0.9992220997810364,0.9981867671012878
1,0.9984750151634216,0.9998859763145447,0.004640990402549505,0.001,0.9934068918228149,0.9987003207206726,0.9765750169754028,0.9992817044258118,0.062387559562921524,0.8920480608940125,0.9996114373207092
2,0.9986166954040527,0.999890148639679,0.0039695012383162975,0.001,0.9939647316932678,0.9988736510276794,0.9996500015258789,0.9999996423721313,0.000950892164837569,0.9987058639526367,0.9994819164276123
3,0.999269425868988,0.9999273419380188,0.0023315169382840395,0.001,0.9967309832572937,0.999480128288269,0.9957749843597412,0.9997045397758484,0.014819311909377575,0.9787018299102783,0.9998704791069031
4,0.9996583461761475,0.9999855756759644,0.0009578525205142796,0.0005,0.9984856247901917,0.9997400641441345,0.999875009059906,1.0,0.00020245235646143556,0.9994821548461914,0.9998704791069031
5,0.9996222257614136,0.9999531507492065,0.0012667943956330419,0.0005,0.9983559250831604,0.9996823072433472,0.9993749856948853,0.9999999403953552,0.0016513322480022907,0.9967725276947021,1.0
6,0.9997416734695435,0.9999805092811584,0.0008247893420048058,0.0005,0.998860239982605,0.9997978210449219,0.9999250173568726,0.9999999403953552,0.00021457522234413773,0.9997410178184509,0.9998704791069031
7,0.9998805522918701,0.9999837875366211,0.00040873760008253157,0.00025,0.9995092153549194,0.9998700618743896,0.9988499879837036,0.9998325109481812,0.0033338458742946386,0.9967637658119202,0.9972801208496094
8,0.9998388886451721,0.9999929666519165,0.00038918390055187047,0.00025,0.99929279088974,0.9998700618743896,0.9999750256538391,1.0,6.264377589104697e-05,1.0,0.9998704791069031
9,0.9998916387557983,0.9999947547912598,0.00027578289154917,0.00025,0.9995092153549194,0.999927818775177,0.9999750256538391,1.0,9.98775867628865e-05,0.9998704791069031,1.0
10,0.9999305605888367,0.9999999403953552,0.00019808177603408694,0.000125,0.9997256994247437,0.9999133348464966,0.9998999834060669,1.0,0.0003142851928714663,0.9996115565299988,0.9998704791069031
11,0.9999555349349976,0.9999983310699463,0.00016607600264251232,0.000125,0.9998267292976379,0.9999422430992126,0.9999750256538391,1.0,5.110130223329179e-05,0.9998704791069031,1.0
