epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8958583474159241,0.9673896431922913,0.0010000000474974513,0.2146167755126953,0.7459112405776978,0.952409565448761,0.9260490536689758,0.9863919019699097,0.18400950729846954,0.7968422770500183,0.9868891835212708
1,0.9371416568756104,0.9844179749488831,0.0010000000474974513,0.14256101846694946,0.8333667516708374,0.969258725643158,0.9372242093086243,0.9885885119438171,0.16494286060333252,0.8239715695381165,0.9859047532081604
2,0.9455222487449646,0.9877380132675171,0.0010000000474974513,0.125868022441864,0.8537427186965942,0.9718883037567139,0.9387867450714111,0.98960280418396,0.15187479555606842,0.8263211250305176,0.988679051399231
3,0.9501305818557739,0.9894167184829712,0.0010000000474974513,0.11612508445978165,0.8647439479827881,0.9742350578308105,0.9592995047569275,0.9925020933151245,0.10165657103061676,0.890781044960022,0.9736889004707336
4,0.9528347253799438,0.9906120300292969,0.0010000000474974513,0.10922399163246155,0.8713385462760925,0.97556471824646,0.9492493867874146,0.9893331527709961,0.12921087443828583,0.8624831438064575,0.9735546708106995
5,0.9557763934135437,0.9914703965187073,0.0010000000474974513,0.10346995294094086,0.8785645365715027,0.9770730137825012,0.965687096118927,0.9937713146209717,0.08665116131305695,0.9369232654571533,0.9404868483543396
6,0.9573472142219543,0.9920369386672974,0.0010000000474974513,0.09982697665691376,0.882296621799469,0.9781199097633362,0.944899320602417,0.9849015474319458,0.15758439898490906,0.866901159286499,0.9483622908592224
7,0.9589986205101013,0.9926238059997559,0.0010000000474974513,0.09600605815649033,0.8865678906440735,0.9787599444389343,0.9582244753837585,0.9935914278030396,0.10621897876262665,0.8789377212524414,0.9863075017929077
8,0.960593044757843,0.9931102991104126,0.0010000000474974513,0.09246502816677094,0.8905199766159058,0.9796679019927979,0.967237114906311,0.9948843121528625,0.08476907759904861,0.908951461315155,0.9809826612472534
9,0.9617860913276672,0.9933833479881287,0.0010000000474974513,0.09027882665395737,0.8937195539474487,0.9800350069999695,0.9627870321273804,0.9941991567611694,0.09741240739822388,0.894376814365387,0.9828619956970215
10,0.9626819491386414,0.9937719106674194,0.0010000000474974513,0.08754873275756836,0.8960477709770203,0.9804319739341736,0.9555244445800781,0.9903737902641296,0.12245902419090271,0.8841593265533447,0.9675586223602295
11,0.9633444547653198,0.9939382672309875,0.0010000000474974513,0.08631180226802826,0.8977081179618835,0.9808189272880554,0.9553119540214539,0.9910258650779724,0.11998739093542099,0.8771345019340515,0.9768659472465515
12,0.9677152633666992,0.9950705170631409,0.0005000000237487257,0.07695947587490082,0.9090158343315125,0.9830664992332458,0.971912145614624,0.9956613183021545,0.07138484716415405,0.9350677728652954,0.9665741920471191
13,0.9684013724327087,0.9952959418296814,0.0005000000237487257,0.07514815777540207,0.910785973072052,0.9834535121917725,0.9663620591163635,0.9957044720649719,0.08813826739788055,0.900166928768158,0.9893055558204651
14,0.9689763784408569,0.9954522848129272,0.0005000000237487257,0.07382779568433762,0.9121992588043213,0.9838752150535583,0.9649120569229126,0.9963067770004272,0.08922520279884338,0.89316326379776,0.9931985139846802
15,0.9696485996246338,0.9955195188522339,0.0005000000237487257,0.0728721171617508,0.9139026999473572,0.9843068718910217,0.9614370465278625,0.9919455051422119,0.10591012239456177,0.9101827144622803,0.9563271999359131
16,0.9700541496276855,0.9956374764442444,0.0005000000237487257,0.07177703082561493,0.915030300617218,0.984440803527832,0.9604744911193848,0.9956346750259399,0.10268480330705643,0.880221962928772,0.9937354326248169
17,0.9703805446624756,0.9957862496376038,0.0005000000237487257,0.07074152678251266,0.9159193634986877,0.9845747947692871,0.9698371291160583,0.9960062503814697,0.08177484571933746,0.9104723334312439,0.9893055558204651
18,0.9728666543960571,0.9963158965110779,0.0002500000118743628,0.06525395810604095,0.9223347902297974,0.9861078858375549,0.9763872027397156,0.9968936443328857,0.06264101713895798,0.9374759197235107,0.9808931350708008
19,0.9730333089828491,0.996376633644104,0.0002500000118743628,0.06486503779888153,0.923052966594696,0.9858498573303223,0.9757246971130371,0.9970844388008118,0.0636630579829216,0.9302158951759338,0.9871577024459839
20,0.9732999801635742,0.9964889287948608,0.0002500000118743628,0.06382524222135544,0.9238494038581848,0.9858846068382263,0.9750372171401978,0.9968747496604919,0.06610360741615295,0.9284601211547852,0.9866654872894287
21,0.9734402894973755,0.9964892268180847,0.0002500000118743628,0.06342310458421707,0.9240230917930603,0.9862120747566223,0.9722496271133423,0.9961205124855042,0.0730353593826294,0.9240687489509583,0.9812958836555481
22,0.9738736152648926,0.9966022968292236,0.0002500000118743628,0.06251423060894012,0.9252622723579407,0.9863410592079163,0.9753996729850769,0.9967716932296753,0.06558632105588913,0.9312314987182617,0.9846518635749817
23,0.9747999906539917,0.9967725872993469,0.0001250000059371814,0.060469549149274826,0.9276244640350342,0.9869860410690308,0.973362147808075,0.9967602491378784,0.07035347074270248,0.9226491451263428,0.9874261617660522
24,0.9751152992248535,0.9968648552894592,0.0001250000059371814,0.059655144810676575,0.9284114837646484,0.9872291684150696,0.9755622148513794,0.9972662329673767,0.06530667096376419,0.9277593493461609,0.9895740151405334
25,0.9755319356918335,0.9969311952590942,0.0001250000059371814,0.05890444293618202,0.9296285510063171,0.987333357334137,0.9743621945381165,0.9970047473907471,0.0682276263833046,0.9243215918540955,0.9892160296440125
26,0.9755277633666992,0.9969327449798584,0.0001250000059371814,0.058794643729925156,0.9295472502708435,0.9874176979064941,0.9770871996879578,0.9972359538078308,0.06067467853426933,0.9353962540626526,0.9860837459564209
27,0.9758291840553284,0.9969930052757263,0.0001250000059371814,0.05794484168291092,0.9303253889083862,0.9876211285591125,0.9779747128486633,0.9973379373550415,0.05872846394777298,0.9387841820716858,0.9854125380516052
28,0.9763861298561096,0.9971335530281067,6.25000029685907e-05,0.05683817341923714,0.9319710731506348,0.9877451658248901,0.9768121838569641,0.9971940517425537,0.061562683433294296,0.9338244795799255,0.9869339466094971
29,0.9764458537101746,0.9971081018447876,6.25000029685907e-05,0.05679987370967865,0.9319726228713989,0.9879733920097351,0.9744496941566467,0.9969749450683594,0.06792768090963364,0.9248409867286682,0.9889028072357178
