epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6370124816894531,0.7900155782699585,0.0010000000474974513,0.5127080082893372,0.3996357023715973,0.8994778394699097,0.7622595429420471,0.7753046154975891,0.47755202651023865,0.5403699278831482,0.3091273903846741
1,0.8009222149848938,0.905274510383606,0.0010000000474974513,0.36886659264564514,0.5638151168823242,0.9001999497413635,0.8374104499816895,0.9191150069236755,0.32690009474754333,0.6322839260101318,0.8309428095817566
2,0.8414819240570068,0.9342573881149292,0.0010000000474974513,0.31199902296066284,0.6249558925628662,0.9152538776397705,0.8393229842185974,0.9394732713699341,0.3383205235004425,0.6183999180793762,0.9280341267585754
3,0.8584319353103638,0.9455705881118774,0.0010000000474974513,0.2855396866798401,0.6539242267608643,0.9214476346969604,0.8246853351593018,0.9190356135368347,0.3816809058189392,0.6008181571960449,0.8839017152786255
4,0.8686180710792542,0.9519259929656982,0.0010000000474974513,0.26877546310424805,0.6723007559776306,0.925786018371582,0.884548544883728,0.9656290411949158,0.24404272437095642,0.6989147663116455,0.9430792331695557
5,0.8760819435119629,0.9565932750701904,0.0010000000474974513,0.2556705176830292,0.6859240531921387,0.9304021596908569,0.8952736854553223,0.9653919339179993,0.23127010464668274,0.7279034852981567,0.9259779453277588
6,0.8817277550697327,0.95984947681427,0.0010000000474974513,0.24603426456451416,0.6968622803688049,0.9326852560043335,0.8979237079620361,0.9725167751312256,0.2211485207080841,0.7261099815368652,0.9480943083763123
7,0.8850694298744202,0.961690366268158,0.0010000000474974513,0.24042034149169922,0.7034596800804138,0.9340906739234924,0.858623206615448,0.9383730292320251,0.31167611479759216,0.6588850617408752,0.8973921537399292
8,0.889116644859314,0.9638631343841553,0.0010000000474974513,0.23344899713993073,0.7114567756652832,0.9362126588821411,0.8818860054016113,0.9590656757354736,0.258262574672699,0.7008461952209473,0.9179538488388062
9,0.8922097086906433,0.9656911492347717,0.0010000000474974513,0.22765232622623444,0.7176891565322876,0.9377680420875549,0.8843110799789429,0.9595823884010315,0.26608210802078247,0.7038266658782959,0.9251755475997925
10,0.902037501335144,0.9706417918205261,0.0005000000237487257,0.21017548441886902,0.7382275462150574,0.9423453211784363,0.9029737710952759,0.9747815132141113,0.21539588272571564,0.735478401184082,0.9537612795829773
11,0.9043416380882263,0.9720211029052734,0.0005000000237487257,0.2051219791173935,0.7429123520851135,0.9441284537315369,0.9181115031242371,0.9793339967727661,0.19235864281654358,0.7713289856910706,0.9544132351875305
12,0.905840277671814,0.9727042317390442,0.0005000000237487257,0.20243942737579346,0.7461646795272827,0.9448172450065613,0.9162864685058594,0.9805850386619568,0.19336943328380585,0.7643207907676697,0.9602307081222534
13,0.9075111150741577,0.9735069274902344,0.0005000000237487257,0.19921855628490448,0.7496390342712402,0.9460393190383911,0.9166489839553833,0.9804423451423645,0.19220580160617828,0.7652066349983215,0.9602307081222534
14,0.9083750247955322,0.9740619659423828,0.0005000000237487257,0.19714917242527008,0.7515549659729004,0.9463948607444763,0.9238990545272827,0.9801462888717651,0.1781233549118042,0.7905932664871216,0.9449849724769592
15,0.9097791910171509,0.9746631979942322,0.0005000000237487257,0.19495581090450287,0.7546307444572449,0.9471114277839661,0.9171364903450012,0.9766623973846436,0.1963101625442505,0.7751912474632263,0.9402206540107727
16,0.914691686630249,0.9768584370613098,0.0002500000118743628,0.18563008308410645,0.7653602957725525,0.9500722289085388,0.9266865849494934,0.9833077192306519,0.17032037675380707,0.7918066382408142,0.9576730132102966
17,0.915768027305603,0.9774814248085022,0.0002500000118743628,0.18324804306030273,0.7677809596061707,0.9506332874298096,0.9242615699768066,0.9836210608482361,0.1740807443857193,0.7834592461585999,0.9620361328125
18,0.9167208075523376,0.9778899550437927,0.0002500000118743628,0.18150761723518372,0.7698549628257751,0.9513109922409058,0.9136489033699036,0.9778449535369873,0.199363112449646,0.7614138126373291,0.9518054127693176
19,0.9173833131790161,0.9781878590583801,0.0002500000118743628,0.18002934753894806,0.7713797092437744,0.9516053795814514,0.9277490973472595,0.9850912094116211,0.16592775285243988,0.7920309901237488,0.9629889726638794
20,0.9177319407463074,0.978380024433136,0.0002500000118743628,0.17933811247348785,0.7721445560455322,0.9518498182296753,0.9126864075660706,0.9795422554016113,0.20219160616397858,0.7558355331420898,0.9597291946411133
21,0.91872638463974,0.9786983132362366,0.0002500000118743628,0.17802006006240845,0.7742595076560974,0.9527108073234558,0.9331491589546204,0.9853391051292419,0.15767234563827515,0.8083425164222717,0.9592276811599731
22,0.9195347428321838,0.9790967106819153,0.0002500000118743628,0.17639471590518951,0.7763167023658752,0.9526719450950623,0.9311116337776184,0.9852384924888611,0.1599104255437851,0.8027613162994385,0.9593279957771301
23,0.919848620891571,0.9791223406791687,0.0002500000118743628,0.17595447599887848,0.7768532633781433,0.9532440900802612,0.9309366345405579,0.9844251275062561,0.163120299577713,0.8025437593460083,0.95882648229599
24,0.9204541444778442,0.9795136451721191,0.0002500000118743628,0.1741000860929489,0.7782180309295654,0.9536218047142029,0.928661584854126,0.9844024777412415,0.16616252064704895,0.795892059803009,0.9599799513816833
25,0.9230916500091553,0.9805423617362976,0.0001250000059371814,0.16950079798698425,0.7845331430435181,0.9545661807060242,0.935936689376831,0.9854524731636047,0.15371578931808472,0.8171697854995728,0.9571213722229004
26,0.9231555461883545,0.9808139801025391,0.0001250000059371814,0.16847138106822968,0.784521222114563,0.9549438953399658,0.9352867007255554,0.9852980375289917,0.15471331775188446,0.8159753680229187,0.955967903137207
27,0.9237277507781982,0.9809064269065857,0.0001250000059371814,0.1677486151456833,0.7857038378715515,0.9555715918540955,0.9337741732597351,0.986465573310852,0.15563148260116577,0.808356523513794,0.9624874591827393
28,0.9245527982711792,0.98116135597229,0.0001250000059371814,0.16673676669597626,0.7876805663108826,0.9559104442596436,0.9303366541862488,0.9863234758377075,0.16249732673168182,0.7971212267875671,0.9664995074272156
29,0.923943042755127,0.9811534285545349,0.0001250000059371814,0.16660058498382568,0.7862264513969421,0.9556438326835632,0.9299116134643555,0.9833504557609558,0.16694201529026031,0.8028311729431152,0.9528084397315979
